hostName	ScerCount	SparCount	otherAmplifiedITScount	otherGrowthCount	sampleCount	site	species	hostType	latitude	longitude	elevation	circum	pH	tmaxlatitude	tmaxlongitude	maxtemp
PAR9	0	0	0	0	4	PAR	Quercuspubescens	oak	38.18407	23.79444	640	0.75	NA	38.18333	23.79167	299
PLU10	0	0	0	0	4	PLU	Quercuspetraea	oak	50.906483	-0.0696	62.5	0.53	5.5	50.90833	-0.06666667	216
PLU11	1	0	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5	50.90833	-0.075	217
PLU12	1	0	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5	50.90833	-0.075	217
PLU13	1	0	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5	50.90833	-0.075	217
PLU14	0	0	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5	50.90833	-0.075	217
PLU15	1	1	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5	50.90833	-0.075	217
PLU16	0	0	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5	50.90833	-0.075	217
PLU17	1	0	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5	50.90833	-0.075	217
PLU18	0	0	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5	50.90833	-0.075	217
PLU19	1	0	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5	50.90833	-0.075	217
PLU20	0	0	1	0	1	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5	50.90833	-0.075	217
PLU21	0	1	1	1	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5	50.90833	-0.075	217
PLU22	2	0	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5	50.90833	-0.075	217
PLU27	1	0	0	1	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	NA	50.90833	-0.075	217
PLU28	1	0	1	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	NA	50.90833	-0.075	217
PLU29	1	0	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	NA	50.90833	-0.075	217
PLU5	0	3	1	0	4	PLU	Quercusrobur	oak	50.9107	-0.069633	47.3	2.73	4	50.90833	-0.06666667	216
PLU6	0	0	0	0	4	PLU	Quercusrobur	oak	50.909883	-0.070183	43.3	2.6	4	50.90833	-0.06666667	216
PLU7	0	0	0	1	4	PLU	Quercusrobur	oak	50.9071	-0.0697	51.5	0.79	5.5	50.90833	-0.06666667	216
PLU8	0	0	0	0	4	PLU	Quercusrobur	oak	50.90705	-0.069667	51.2	0.5	5	50.90833	-0.06666667	216
PLU9	0	0	1	1	4	PLU	Quercusrobur	oak	50.906433	-0.06975	47.5	0.56	5.5	50.90833	-0.06666667	216
PYR1	0	0	2	5	5	PYR	Quercuspubescens	oak	40.37258	23.69282	142	NA	NA	40.375	23.69167	309
PYR10	0	0	3	2	6	PYR	Quercusvirgiliana	oak	40.37515	23.69257	145	1.645	NA	40.375	23.69167	309
PYR11	0	0	3	4	6	PYR	Quercusvirgiliana	oak	40.37498	23.69158	144	1.81	NA	40.375	23.69167	309
PYR12	0	0	0	5	6	PYR	Quercuspubescens	oak	40.37634	23.69194	150	NA	NA	40.375	23.69167	309
PYR13	0	0	0	1	4	PYR	Quercuspubescens	oak	40.376944	23.692861	161	NA	NA	40.375	23.69167	309
PYR14	0	0	1	2	4	PYR	Quercuspubescens	oak	40.37584	23.69395	147	0.415	NA	40.375	23.69167	309
PYR15	0	0	0	3	4	PYR	Quercuspubescens	oak	40.375306	23.695278	154	1.45	NA	40.375	23.69167	309
PYR2	0	0	3	3	6	PYR	Quercuspubescens	oak	40.37325	23.69317	144	1.33	NA	40.375	23.69167	309
PYR3	0	0	1	4	5	PYR	Quercuspubescens	oak	40.37351	23.69323	144	1.23	NA	40.375	23.69167	309
PYR4	2	0	2	4	6	PYR	Quercuspubescens	oak	40.37596	23.6925	150	NA	NA	40.375	23.69167	309
PYR5	0	5	1	3	6	PYR	Quercuspubescens	oak	40.3758	23.6924	151	NA	NA	40.375	23.69167	309
PYR6	0	0	4	2	6	PYR	Quercuspubescens	oak	40.3758	23.69243	148	NA	NA	40.375	23.69167	309
PYR7	0	4	1	2	6	PYR	Quercuspubescens	oak	40.37554	23.69234	149	NA	NA	40.375	23.69167	309
PYR8	0	4	0	3	6	PYR	Quercusvirgiliana	oak	40.37535	23.69223	147	NA	NA	40.375	23.69167	309
PYR9	0	1	2	4	6	PYR	Quercuspubescens	oak	40.37548	23.6922	147	NA	NA	40.375	23.69167	309
SON1	0	0	0	1	3	SON	Ficuscarica	fig	41.711014	-7.228742	567	0.56	6.5	41.70833	-7.225	285
SON2	0	0	0	0	3	SON	Ficuscarica	fig	41.710883	-7.228683	567	0.33	6.5	41.70833	-7.225	285
SON3	0	0	0	1	3	SON	Ficuscarica	fig	41.710883	-7.228753	567	1.41	7.5	41.70833	-7.225	285
SON4	1	0	0	0	3	SON	Ficuscarica	fig	41.710836	-7.228847	567	0.445	6	41.70833	-7.225	285
SON5	0	0	0	0	3	SON	Ficuscarica	fig	41.711156	-7.229614	567	0.645	5	41.70833	-7.233333	285
SON6	0	0	0	1	3	SON	Ficuscarica	fig	41.711147	-7.229589	567	0.92	7	41.70833	-7.233333	285
SON7	0	0	1	0	3	SON	Ficuscarica	fig	41.711158	-7.229675	567	0.278	6	41.70833	-7.233333	285
SON8	0	0	0	0	3	SON	Ficuscarica	fig	41.711114	-7.229519	567	0.358	6	41.70833	-7.233333	285
TAX1	0	2	1	1	4	TAX	Quercusfrainetto	oak	40.43237	23.50122	829	0.525	NA	40.43333	23.5	272
TAX10	0	0	2	2	4	TAX	Quercusfrainetto	oak	40.43335	23.49898	813	0.46	NA	40.43333	23.5	272
TAX11	0	0	4	1	4	TAX	Quercusfrainetto	oak	40.43406	23.49914	821	NA	NA	40.43333	23.5	272
TAX12	0	0	4	1	4	TAX	Quercusfrainetto	oak	40.43397	23.49888	818	0.72	NA	40.43333	23.5	272
TAX13	0	1	3	0	4	TAX	Quercusfrainetto	oak	40.43388	23.49902	816	NA	NA	40.43333	23.5	272
TAX14	0	3	1	1	4	TAX	Quercusfrainetto	oak	40.4332	23.49548	796	1.31	NA	40.43333	23.49167	277
TAX15	0	4	0	0	4	TAX	Quercusfrainetto	oak	40.43328	23.49516	797	1.545	NA	40.43333	23.49167	277
TAX2	0	2	2	2	4	TAX	Quercusfrainetto	oak	40.43212	23.5026	849	0.795	NA	40.43333	23.5	272
TAX3	0	1	2	1	4	TAX	Quercusfrainetto	oak	40.43235	23.50295	856	0.76	NA	40.43333	23.5	272
TAX4	0	4	2	3	4	TAX	Quercusfrainetto	oak	40.43273	23.50222	853	0.92	NA	40.43333	23.5	272
TAX5	0	2	0	0	4	TAX	Quercusfrainetto	oak	40.43299	23.50173	850	0.555	NA	40.43333	23.5	272
TAX6	0	0	3	0	4	TAX	Quercusfrainetto	oak	40.43327	23.50157	852	0.8	NA	40.43333	23.5	272
TAX7	0	0	1	3	4	TAX	Quercusfrainetto	oak	40.43386	23.5008	848	0.725	NA	40.43333	23.5	272
TAX8	0	1	2	4	4	TAX	Quercusfrainetto	oak	40.43398	23.50069	847	0.75	NA	40.43333	23.5	272
TAX9	0	0	4	1	4	TAX	Quercusfrainetto	oak	40.43349	23.49853	807	NA	NA	40.43333	23.5	272
TTP1	0	0	3	0	3	TTP	Quercusrobur	oak	53.335653	-2.387733	25	3.9	7	53.33333	-2.391667	201
TTP2	0	1	1	0	2	TTP	Quercusrobur	oak	53.335453	-2.385689	64	4.02	4	53.33333	-2.383333	201
UEA1	0	0	0	0	2	UEA	Quercusrobur	oak	52.618792	1.2353031	12	NA	5	52.61667	1.233333	209
UEA2	0	1	0	0	1	UEA	Quercusrobur	oak	52.623324	1.2392497	26	6.82	5	52.625	1.241667	209
VEL	1	0	4	4	10	PAR	Ficuscarica	fig	38.13398	23.78009	334	NA	NA	38.13333	23.78333	313
